concept,description,tags
AWS Graviton,고성능 워크로드를 위해 개발된 서버 프로세서,AWS
Materialized View,쿼리 결과를 미리 계산해 물리적으로 저장해두는 데이터 베이스 객체. 자주 쓰는 복잡한 쿼리에 적합함.미리 계산된 쿼리의 결과를 캐시해 성능을 크게 향샹시킬 수 있다.,AWS
Amazon Athena,"서버리스, 인터랙티브 쿼리 지원 분석 서비스. S3에서 직접 데이터를 쿼리할 수 있다. Pay-per-query",DEA ; AWS
Athena Workgroup,Athena 내에서 쿼리를 구성하고 관리해주는 서비스. 업무 관련 쿼리를 그룹화 하여 관리. 그룹별 비용한도 설정. IAM 기반 엑세스 제어. 작업 그룹별 쿼리 성능 및 사용량 모니터링. Athena에서 Spark 엔진을 사용하기 위해 만들어야 한다.,DEA ; AWS
Parquet,"하둡 에코시스템을 위해 설계된 오픈 소스 파일형식. 열 기반저장. 압축효율성, 복합 중첩 데이터 구조 지원이 특징. 보통 Cost-Effective 한 옵션임",DEA ; AWS
Data Buketinge,Dataset을 Bucket이라는 일종의 범주로 분류하는 것. Bucket간 데이터는 균등하게 분배된다.,DEA ; AWS
Query Result Reuse,Query 결과를 재사용하여 쿼리 성능을 향상시키는 기능,DEA ; AWS
AWS GLue,완전관리형 ETL 서비스. 서버리스 서비스,DEA ; AWS
AWS Glue Catalog,"중앙집중형 메타데이터 저장소. 테이블정의, 작업정의 등 기타 관리정보 포함. 다른 AWS 서비스들과 톻합 지원. Persistence(지속성). 기본적으로 모든 데이터 자산에 대한 메타데이터 저장을 지원한다.",DEA ; AWS
AWS Glue Crawler,메타데이터를 검색하고 카탈로그화하기 위한 자동화된 도구. data schema 변경을 감지,DEA ; AWS
AWS Glue Workflow,복잡한 ETL 파이프라인을 위한 ETL 오케스트레이션 툴. Glue Job이 포함된 ETL에 적합. Cost-Effective Solution. 프로세스 관리 기능,DEA ; AWS
AWS Glue Studio,AWS Glue의 새로운 비주얼 인터페이스.ETL 작업을 손쉽게 실행 및 모니터링 가능,DEA ; AWS
AWS Glue job bookmark,ETL job Progress 를 추적하고 중단한 지점부터 실행하기 위한 Glue 기능. 기본적으로 job을 추적하기 위한 기능이기 때문에 incremental data processing에 적합,DEA ; AWS
AWS Glue Data Quality,Glue에서 제공하는 Validation checking 서비스. built-in check 과 custom ruleset 기반 check이 가능하다.,DEA ; AWS
AWS Glue Dynamic Frame File Grouping,여러 작은 파일을 보다 큰 청크로 묶어서 작업할 수 있는 ETL 기능,DEA ; AWS
Glue ExcutionClass,AWS Glue job 실행시 설정할 수 있는 파라미터. 사용 가능한 설정값은 standard or flexible. standard 는 빠르게 완료해야 하는 time-sensitive job에 설정. 종료시간이 정해지지 않는 Job에는 flexible 설정,DEA ; AWS
Dynamic Frame,Glue에서 사용되는 분산 데이터 처리를 위한 데이터 구조. 동적 스키마 및 자체 파티셔닝 기능,DEA ; AWS
Upsert Operation,데이터베이스에 새 레코드를 삽입하거나 기존 레코드를 업데이트하는 것을 하나의 작업으로 수행하는 것. 데이터 중복을 막기 위해 스테이징 테이블을 만들고 데이터를 카피한 후 업데이트하는 작업도 Upsert에 해당,DEA ; AWS
AWS Glue DataBrew,"Glue에서 제공하는 Visual Data Transformation Tool. raw 데이터에서 인사이트 추출. 서버리스 솔루션. 데이터 품질진단, 프로파일링 전처리 등 수행",DEA ; AWS
NEST_TO_ARRAY,Glue DataBrew에서 여러 컬럼을 하나의 배열로 만들 때 사용,DEA ; AWS
NEST_TO_MAP,Glue DataBrew에서 여러 컬럼을 하나의 Map으로 만들 때 사용,DEA ; AWS
AWS Lake Formation,"데이터 레이크를 쉽게 설정, 보안설정및 관리하는 서비스. 중앙집중식 권한관리를 통한 세분화된 엑세스 제어 가능. IAM과 통합되어 RBAC 가능.",DEA ; AWS
Data Mesh,분산된 데이터 소유권을 통해 당면 과제를 해결하는 아키텍처 프레임워크,AWS
Kinesis Data Firehose,"스트림 데이터를 변환하여 S3, Redshift, Open Search등 분석 서비스에 전달하는 ETL 서비스 완전관리형 서버리스, 준실시간(near real time). 데이터 포맷 변환 지원. 데이터 전송에 중점",DEA ; AWS
Kinesis Data Streams,"대규모 레코드 스트림을 실시간으로 수집하고 처리하는 AWS 서비스.보통 로그 데이터, 앱로그, 시장 데이터 피드, 웹 클릭스트림 데이터 .실시간 처리 및 분석에 중점",DEA ; AWS
Data Record(KDS),Kinesis Stream에 저장되는 단위,DEA ; AWS
Shard(KDS),Data Stream에서 고유하게 식별되는 레코드 시퀀스-> 스트림은 하나 이상의 샤드로 구성되며 샤드는 고정된 용량 제공. Stream 용량 제한이 샤드에 의해 결정되기 때문에 샤드의 수를 늘림으로서 늘어난 데이터 쓰루풋을 감당할 수 있다.,DEA ; AWS
Partition Key(KDS),스트림 내의 Shard 별로 데이터를 그룹화 하기 위한 Key,DEA ; AWS
Sequence Number(Data Streams),각 데이터 레코드에는 샤드 내에 파티션-키 마다 고유한 sequence number가 존재,DEA ; AWS
WriteThroughputExeeded exceptions,"AWS 서비스, 특히 DynamoDB에서 프로비저닝된 처리량(읽기 또는 쓰기 용량)을 초과했을 때 발생하는 오류",DEA ; AWS
Batch Messages(KDS),Record를 Batch로 처리하는 것. overhead를 줄이고 처리량을 늘리기 위해 KDS에서 사용할 수 있는 옵션. ProvisionedThroughputExeededException 방지,DEA ; AWS
Amazon Managed Service for Apache Flink,"Apache Flink를 사용해 실시간 스트리밍 어플리케이션을 빌드하고 실행할 수 있는 완전관리형 서버리스 서비스
  . 과거 Kinesis Data Analytics란 이름이었다. 데이터 변환, 대화형 쿼리, 실시간 분석 및 다른 AWS와의 통합이 특징",DEA ; AWS
Amazon Managed Service for Apache Kafka,Apache Kafka 인프라와 운영을 관리하는 AWS 스트리밍 데이터 서비스. Kafka와 같이 데이터 Publisher와 Consumer를 분리하는 역할을 한다.,DEA ; AWS
Broker Node,카프카 클러스터 구성요소중 하나로 메시지를 저장하고 관리하는 역할을 한다. Producer로부터 메시지를 수신하고 Consumer에게 전달함. 토픽과 파티션을 관리한다.,DEA ; AWS
Zookeepr Node,"분산시스템 조정을 위한 노드. 브로커의 상태관리, 클러스터 설정 저장",DEA ; AWS
